label,text
positive," 
такие клевые :))"
negative,Государственная ДУРА!!!!
neutral,Кот моей одногрупници в Гете))))))
neutral,"По субботам мы валяемся в постели целый день, по воскресеньям я пишу хуевые тексты."
neutral,надолго твоего статуса хватило...
positive,Только мой .....
negative,"Смотрю на эти «умные» комменты и просто диву даюсь. Кстати спор уже давно не про тему, а кто громче налаляет в ленте. Могли бы хоть раз в жизнь понять простую вещь: когда несёшь ерунду с таким видом, сам выглядишь смешно."
positive,"Ой, знаете!? Сейчас бы так РАЗ и умер! =) А хоронили бы меня... положили бы на деревянную штуку, обмотали чем-нибудь и подожгли бы факелами. А самое главное, это бы все происходило ночью, у моря, и пустили бы горящее тело в открыто море. Красота!"
neutral,"Почему к утру всегда рисуются самые честные мысли: вроде хочется и молчать, и дерзить, и чтобы рядом кто-то был, а потом понимаешь — даже это всё про одиночество."
negative,"Арсенал,Арсенал...Ну как так? (("
negative,"где блять обещанное неипаццо повышение стипендии, второй месяц ёпта повышают?!"
neutral,ПРЯМ ПРО МЕНЯ) МАЛЕНЬКО)
neutral,"Ночь, а мозг решил устроить корпоратив без меня. Смотрю в потолок и понимаю: если мысли умеют шуметь, то мои уже орут анекдоты из подъезда. Смешно и немного грустно, как всегда вовремя."
neutral,"Доктор, у меня аллергия на зиму. Я весь покрываюсь одеялом и всё время сплю."
negative,"Возьми стакан,  швырни его об стену,
Теперь проси прощения навзрыд.
Ну что,  свершилось?  Стал обратно целым?
Вот так людей ломает от обид."
negative,"ухожу надолго,буду очень по вам скучать любимые друзяшки:((("
negative,всех кто скажет мне что утро доброе буду жестоко и беспощадно убивать)
neutral,"Ночью снова случайно включил тот же трек и вспомнил, как мы однажды шли по набережной в егори были совсем тихо. Тогда мне казалось, что эта песня будет всегда связана с кем-то одним. Странно, но до сих пор не отпускает."
neutral,Расстрел Чаушеску и его жены
negative,"НИКИТОЧКА И ВАНИЧКА!!! ВЕЧНАЯ ПАМЯТЬ ВАМ!
ПОМНИМ.... ЛЮБИМ...... СКОРБИМ......"
negative,"Впихивание Донбасса в бандеровскую Украину вопреки массовым протестам его жителей (см. обращение 41 общественной организации Донецка к президенту РФ), является завершающим шагом на пути удушения русского восстания в Новороссии. Такое деяние отвечает интересам олигархических структур и плутократов во власти, которые организуют пиар-акции по вывихиванию мозгов обывателей.  Но есть суд народа, суд истории."
negative,"У нас будет огромная парковочная площадка около пляжа, но поставить машину вы там не сможете, ибо не проложено. 
Пидарасы, чо ещё сказать."
neutral,Для тебя*)
neutral,"Вчера внезапно поймал себя на том, что старые переписки уже почти никто не открывает, а ведь там было столько странных шуток, споров до ночи и каких-то жестких моментов. Сейчас на токсичность реагируешь спокойнее, но осадок после нее все равно остается."
negative,"Утащила репостом чужую мысль... потому что своя совсем не выходит сегодня. Вышел утром — серость, люди качпечаються, автобус опять мимо... и я като так же // медленно вниз. День будто из мокрой ваты..."
neutral,"поймал себя на мысли, что раньше в ленте было больше случайных постов и меньше вечной злости. как будто люди реально писали то, что чувствуют, а не проверяли друг друга на стресс каждый день... странно скучаю по этому"
positive,"Как бы круто там не было, мне одно ясно -
Ещё сильнее я в тебя все равно не влюблюсь."
neutral,...и это по 1 экз...? (все-таки я в принтерах идиот...)
neutral,"— И что, правда всё это проходит? — Да. Даже то, во что клялись на балконе ночью и под старый плейлист. Странно: чем тише сейчас, тем яснее слышу то лето."
neutral,"У меня нет недостатков)) И точка, бл)) :D"
negative,"Обидки,большие Обидки..."
positive,"я хз, но когда вечером город чуть затихает и музыка в наушниках ложится прям в конкретный момент — как будто всё вокруг становится немного своим"
neutral,"После двенадцати в окне всё какое-то совсем чужое. Сидел у ькраена и тупо смотрел на дорогу, никто не едет."
neutral,"внезапно вспомнил(а) как всё было：ночные переписки, дурацкие шутки, его плейлист в мдксэфче 🕊️ сейчас уже просто листаю старые фотки и будто это не со мной"
positive,"думал сегодня… зачем вобще столько фшума вокруг счастья, если где-то рядом есть твои уточненая улыбка и этот тихий касак тел по душе... кажется, смысл бытия иногда оч прост :)"
neutral,А весной его затопит!
neutral,Как же хочется огромных сугробов снега и новогодней атмосферы.
negative,"пришла весна,учиться лень,сидишь за партой как олень"
negative,"Иногда ловлю себя на том, что мне даже не хватает тебя в этих странных ночных чатиках. И nn че́естно, от этого почему-то только холоднее. Вроде хочется написать тебе опять, а потом вспоминаю как быстро все закончилось и такая тоска."
neutral,"девочка я знаю ты хочешь романтики!!! будет романтика: сиськи, письки, бантики по всему ковру от презервативов фантики!!!!!"
neutral,"ночю снова сижу у окна, фонари гсветят как-то тупо и вроди даже не факт что осознаю че тут делаю 🤍"
positive,Счастья Вам ))))  не ругайтесь никогда !!!)) я за этим прокантролирую)))
negative,"Местный Телеком, окончательно оборзев, не только отключил инет 1 числа, но и выкатил счет втрое больше положенного, а также 2 раза нахамил."
neutral,"аллергия на ваниль.не пью кофе,заедая его сигаретой и горьким шоколадом.не ломаю пальцы. не слушаю плейер на подоконнике в дождь. и глаза мои не цвета счастья.и в солярий не хожу.по клубам-тоже.не делаю duck face в обнимку с плюшевыми уродцами и в розовых трусах.не знаю слова ""лю."".ничего не наращено.и нет мальчика на пафосном авто.и зимой ношу шапку. Я ВООБЩЕ ДЕВУШКА!?:D"
negative,фу! блеать сам смотри свой вормгажточкаком! отвратительно! бляяяяяяяяяяяяяяяяяяяя
negative,сука спасибо тебе.
positive,"да посмотри вот это))
Только что нашел,мне понравилось)))"
negative,"Я привыкаю к людям, как к наркоте… И потом, когда эти люди уходят… У меня начинается ломка… Ей Богу, лучше бы я курила. (с)"
negative,"Репостнул еще одну цитату про «не надо ничего ждать от людей», а по факту просто после работы зашел в любимый магазин, очереди стали длиннее, продукты подорожали и настроение как будто сразу вычтено."
negative,"жесть, а когда-то я Путина уважала("
positive,"Наконец то сериал стал оживать а то надоело пересматривать постоянно первые сезоны, 24 серия вообще рулит в 9 сезоне ))"
neutral,"и еще сегодня помнишь рассказывал))
это гопник"
positive,замечательный амбиет просто для путишествия по ночному июльскому лесу с обильной росой на траве...
neutral,"

Доброго всем времени суток. Нереальная история,которая приключилась со мной на свадьбе в прошлом году!"
neutral,Удивительно.
neutral,"Серьёзно...... а помнишь, как мы до утра сидели во дворе и орали «ну где интернет», а потом всё равно ржали без причины??? Сейчас смешно, а тогда… черт его знает, было ли это счастье или просто пиздец)"
neutral,Потикай)))
negative,"и зачем снова эти песни шепчУт твоим голосом... я уже не пойму, это я жду или просто тлею где-то внутри..."
neutral,так то ваще же нормальные серии...да?
neutral,гетерохромия^^
negative,чтоб ты здох
neutral,"хочу однажды зайти в контакт, и вместо привычной страницы увидеть ""этого сайта больше не существует""!!!!!!!!!!!!!!"
neutral,Очень. Два:)
positive,"согласен, очень неплохо"
neutral,"Двое в пустынном городе... он и она...
мертвых окон глазницы смотрят на них отовсюду
катится вниз по щеке одиноко слеза
они вместе сейчас, они вместе вчера, но завтра вместе не будут...
лёгкий ветер надежды гонит пыль по равнине дорог
две души завязались узлами... надолго ли?!
у всего в этой жизни есть срок и итог,
что приходит внезапно, с соплями и воплями...
но им это неважно сейчас, ведь вокруг никого!
и их чувство на сей момент шире Вселенной
они чаще молчат, им без слов на душе так светло,
как никому, никогда и нигде в жизни не было....

Руставели ""Необходимое одиночество"""
neutral,Девушки загадки на фото)))))))
positive,Любимый кум)))
neutral,"Купил грузовик и вообще не жалею, никого…"
neutral,Уже скоро😍 [id47036877|Фёдор Ингистов]
negative,Свидомые в Одессе 2 мая: ВСЕХ УБИТЬ!
negative,ВООБЩЕ НИХУЯ НЕ ПОЙМУ!!!!
positive,она охрененная)))))))))
neutral,Встретимся на Ляписе Трубецком!))))
neutral,"""Матросы - отродье хамское, но дело своё разумеют. А посему! Жалование платить, в кабаки пускать, девкам любить. Пособие из сукна выдавать. Будучи за границей, на берег не спущать. Ибо он умного слова не скажет и драку учинит. Коков и боцманов держать на шкентеле, дабы они не позорили флот Российский. Каждый матрос, увидев дыру, обязан закрыть её. Баб и всякую такую утварь на корабль не пущать, а ежели пущать, то по одной на брата, дабы не было сумятицы."""
neutral,почувствуй разницу! А Мотыль говорит - что все дело в мегапикселях
positive,"ДОЧЕНЬКА,я тебя тоже очень люблю. Спасибо ГОСПОДИ, что подарила нам тебя!"
neutral,"я вру, что не ем после шести("
negative,"Лол,пришла в школу сломали нос и ушла👃❎🚫🆘📵⛔🔞"
neutral,"Бля комп появился и чет гулять впадлу, че делать? 
ЗАБЫТЬ ПРО КОМП!)))))"
negative,ДОЛ-БА-Е-БЫ!!!
neutral,Вот мелодичней твоей)
negative,"Вчера грелась на концерте, а сегодня в маршрутке снова этот пустой холод... будто вся радость осталась там, под басы и застряла где-то между нервами!!! Дом-ноль, голова-гудит, и даже короткий вечер уже кажется сном."
neutral,"ладно, я спать))*"
neutral,"левый берег, вечер в стекле 🚬
примерно так и запоминаются вещи — не громко, а шорохом листьев и чужими окнами. 
слушал старый трек и как будто снова там."
neutral,#МАИ #Диплом
positive,"Иногда вспоминаю, как ты смотрел на меня тогда... и до сих пор мурашки!!! вот умеешь же зацепить человека так, что потом весь вечер улыбается в пустоту)))"
neutral,"посидел тут чёто... и опять мысль: ну ладно, живём... завтра разберусь. ща не важно."
neutral,завтра будет судный день!!!
neutral,"Не знаю как для вас, а для меня чтение стало роскошью. Банально не хватает времени. Читаю в основном по ночам. Как–то так..."
negative,"я такая вся такая не врот еловая слушаюсь мальчиков, сама себе поэт но Серовно остаюсь убогой не красивой кривой зашто мне такая полоса, что Я бы неговарила той который я была."
negative,Без тебя это будет уже не мой мир...
positive,ВОТ ВАШ КОФЕ ДОРОГИЕ МОИ!)
positive,"Нашёл старый ноутбук — и вдруг вспомнил, как мы ночью сидели на скрипучем табурете и делали вид, что это офис мечты. Норм были времена."
positive,Еее соривнования 3 первых места...
negative,Безысходность)
positive,Хочу секса!!!
neutral,Сейчас опять застрял на этой песне... уже третий час одно и то же пишет в голове
neutral,по твоему уроку
neutral,"Иногда ночъю кажется, что всё было понятнее лет пять назад — и люди, и я сам, а сейчас сидишь и думаешь: ну вот черт возьми, куда это всё делось?"
neutral,"Такие вот тренеры бывают (осторожно, ненормативная лексика). Несмотря на лексику, решил опубликовать. "
neutral,Ибо не рисовал давно. :D
negative,"Заболел. Уже и окружающих начал заражать. Все началось с легкой одежды, простуды. Берегите себя, в регионе зараза! Больше всего похожа на грипп."
neutral,"репостнул потому что заилл просто задело... иногда вспмншь рнше общелись почти шикарно, а потом всё тихо сслось. не драмания конечно, но пустота осталась странная."
neutral,"ночью че то вспомнил, как мы в 17 у подъезда до утра тупо ржали и морозились. та чо сейчас все превратили в срач в комментах, пиздец. люди umели вроде нормально жить 😶"
neutral,Предметмоеймечты
negative,"Первый раз, наверное, за год, заварил мате. Так себе, какой по пути был, ""карнавал"". Бамбуковая бомбилья потерялась, металлическая стала невкусной."
negative,А я коплю ненависть к аморфным существам по дням
negative,"идиоты,им совсем не о чем сюжеты было делать"
positive,Уже СЕГООООООДНЯ!)
neutral,Батарейные мажоры) 
neutral,"Сидели вечером, говорили ни о чем, и как обычно в какой-то момент все уперлось в смысл жизни. Странно, но чем больше молчишь с нормальными людьми, тем меньше хочется что‑то доказывать. Ладно, пойду спать."
neutral,Вот так и живем)
negative,"Гони друзей, что предали
однажды
Предали раз - предадут и
дважды"
positive,"Я хочу в небеса, где нет забот..."
neutral,"Ночь тянется как старая песня в наушниках: вроде давно знаешь слова, а всё равно где-то внутри откликается. Иногда кажется, что многое уходит не зря, просто становится чуть тише и дальше. И от этого почему-то спокойно."
negative,"Качают грустные качели Мои воспоминанья вновь. Как быстро дни те пролетели,Когда царила в них любовь. Когда казалось все красивым,Таким счастливым и родным. Теперь же стало все унылым,Обидным и таким пустым. Ты вспоминай меня прошу,Хотя бы просто иногда. Я тоже о тебе грущу И не забуду никогда.."
positive,Вот теперь стена очень даже ничего)))
positive,"сегодя опять оказалось, как много яваренной токсичности вокруг и в ленте, и в жизни... но всёравно верю: если чуть тише пить чай и не всем всё отдавать нервами, день отпустит. пусть хоть один добрый человек по пути попадётся."
negative,блин только что услышала эту песню...вернулась в прошлое.так больно стало..много чего вспомнила!!!!!!!!!!!!!!!
neutral,"и всё таки, какая ты сейчас стала... как в той ночи помнишь или мне уже показалось? 😏🍷"
neutral,"опять врубил эту песню на repeat и сижу как будто всё не оч уже, но норм, голова сама кивает."
negative,"Блииин,мне не с кем егодня гулять ((("
positive,Я по тебе очень сильно скучаю. Очень сильно тебя люблю. Только прошу... Не возвращайся.
neutral,Ну что все запаслись свечками? Все готовы к сегодняшней ночке? Тогда начинаем! Ждать осталось немного больше 5-ти часов!)))) Поехали!
neutral,"Мы все не ангелы пытайся быть ты просто человеком,и не пытайся высоко взлетать,люби незабывай своих ты близких ведь жизнь одна нам всем потом в земле лежать!"
negative,блять ! настроение в минуса !
negative,"Прощай Авгур... Пусть земля тебе будет пухом... Помним, любим, скорбим..."
positive,"во, я эту любила"
positive,"аххх, ребятки, как же хочется к вам на Новый Год!! чтобы так же круто было как в прошлом году, помните как круто мы в школе праздник провели?? ааааа, хочу так же!!! как же мне вас не хватает, ребятки!!!!!!!!!!"
positive,я не знаю что это!!но это ппц!ахахахаха
negative,"Общество пытается нас сделать удобным для себя. Все равны. Разные вещи не спасают. Потому что внутри одно и тоже. Та же пирамида. Слабые объеденились и стали сильнее сильных. Закомплексованные возвели свои страхи до силы закона, глупые пытаются вдалбливать свои мысли, как философские в головы. Мы так стараемся быть нормальными, что готовы ради этого не только стать серой массой, но и продать душу дьяволу....
И хихикаем довольные, что мы - сила, потому что нас ""багато""... Как на дне выгребной ямы говна.
Бойтесь. Мне это надоело."
negative,У нас ни ХУЯ нового!!!
neutral,"люди, я вот тоже думал что чувство юмора старит отношения, а оказалось оно просто перед сном начинает храпеть и просить 5 минут нмногго тишины"
positive,Супер жопа:33
negative,Сам тормоз!
neutral,Не ссорьтесь ребята!кто сейчас в ссоре помиритесь срочно!сегодня ну никак нельзя.а завтра тем более
negative,"Утром опять открыл Blaga-dunner по кругу... две минуты мира и потом конечно же соседи решили устроить концерт дрели , в итоге чай окинулся на стол , настроение где-то там же. День как злая шутка, а я всё равно слушаю этот трек, он хотя бы не врёт."
neutral,"Смешно, когда люди говорят, что знают меня."
negative,"Опять не пойми кто льёт грязь в комментах, как будто без такого воздуха им не дышится. Сил уже нет от этой агрессии и треша, люди будто специально все друг друга выжигают. Надоело до тошноты."
neutral,"Все, я вернулся и до 4 июля на месте! Финал дома, без Киева."
negative,Всё... Рук нет...
neutral,"Здесь с волками валим камень,потом уходим дворами,всё так же лечимся облаками."
positive,"перепостнула старую фото с нашей прогулки... и так странно тепло стало внутри... раньше казалось, что это просто день, а сейчас понимаю — из таких дней потом и складывается жизнь... берегите своих людей..."
neutral,"интересно, фейк или пора собирать рюкзачок параноика"
positive,Слава России! Путину Слава!
negative,Да ну в жопу эту вашу Болгарию
positive,"..Ребятушки вы мои дорогие, каzантипщики великие!!.
..Вот оно, началось!! )))).."
neutral,Весь вечер на Repeat!!!:)
positive,"Ночь опять почти распалась на тишину. Сидел у окна, пил чай, думал о ерунде и почему-то стало светло внутри. За день всё было мимо, а сейчас нормально. Живём как умеем — пока огни в houses еще горят."
negative,а статус это про тех дибилов которых ты сегодня показывал?)))
neutral,если ты опоздаешь я тебя не прощу.
neutral,опять мои 😉 😉 😉
positive,"Было б круто если все было как мы захотим, ну или хотя бы часть наших мечтаний...."
neutral,"Снова сижу... и залипаю на эту песню... уже по кругу, без шансов. Честно, бесит даже немного... но выключить не могу. Это странное ощущение, когда музыка как будто и успокаивает, и добивает одновременно..."
neutral,Эхо Москвы / Блоги / EchoMSK:  Андрей Кончаловский: Куда мы катимся?
negative,"Сегодня в 8 утра закончилось моё детство:( 
Увидел пьяного, обрыганого, клоуна с размазанной по всему лицу помадой, выпрашивающего бутылку нимирова:)"
neutral,"вот!
только что вспомнила! мы ""он увидел солнце"" забыли!"
neutral,"Вчера во дворе кто-то включил старую песню... и такой странный потопл мыса, будто снова шестнадцать. — помнишь эту лавку? — помню... блин, всё как было и уже нифига не будет."
neutral,"— ну что, идём сегодня? — тайминга бы ещё кто сказал!!! в общем городской шум, чай остыл, а у клуба все уже шевелятся как на концерт перед заходом."
negative,"Ну ладно. Всё и так было ясно — пустые слова, показуха и этот тупой театр комментариев. Больше не лезь ко мне."
positive,"Хах, да я трезвый в гавно! ахахах...=DDD"
positive,"В общем я в восторге от этой новости📰 Лично знакома😎 с этой потрясающей женщиной😊 Она реально просто огонь🔥😀 за 7 месяцев и такой результат😱 такие чеки😲 я в общем точно в правильном месте и время... А кто-то ведь ещё думает...ну, ну😆"
neutral,"ну крч спор тут опять пошёл как обычно, а по сути ни у кого норм аргументов нет"
neutral,Почему ты не гнум? ты была бы такой:
neutral,"""Ну ты это,рано не женись""...""Да он уже женат"""
negative,"почему я опять один под эту музыку, хотя было куча людей вокруг... страннв правда"
neutral,"проснулся с намерением быть продуктивным, а организм опять решил сначала посайлтотиться, и весь ма вообще не спросили"
neutral,Я вернулся блять :D
neutral,"Когда весело – хочется жить;
Когда грустно – хочется умереть хоть сейчас."
positive,"Море позитива, как от результата, так и от процесса) чувствую себя другим человеком) спасибо мастеру))"
neutral,"Надеюсь, друг будет служить верой и правдой!"
neutral,Пострадавший в Бердянске!!!
neutral,"— Ты эты видел?
— Видел.
Снег шёл, а во дворе всё равно было как-то пусто и совсем по-чужому. Странно: вроде ничего не случилось, а внутри будто осадокал зелkый свет, чт поли́cuлии..."
neutral,"кой там у нас сегодня такой ядреный онлайн, что даже читать интересно. Смотреть можно было бы и молча, если бы некоторые так аппетитно не лезли в кадр сеньор 🙂"
positive,"Думала, буду держать всё в себе, но нет. Просто скажу: мне с тобой реально спокойно и как-то очень по-настоящему тепло. И да, это уже точно больше чем просто симпатия."
positive,"оп, и снова залип на эту песню. всё, теперь ноль дел"
neutral,🌌🌌КоСмОс🌌🌌
negative,"смешно наблюдать, как за «талантом» прячут пустоту. я раньше тоже выкладывал строки, думал — дышу? нет. просто шумел в тишину, пока меня не вышвырнул собственный голос."
neutral,"Странно! На дворе уже декабрь, в стране ещё столько видов животных, а Министерство здравоохранения до сих пор не придумало новый грипп."
negative,"Все болезни от нервов, все нервы от мыслей, все мысли от того, что вам не пох..й, а зря."
neutral,"Для тех, кто еще помнит)) Моя гонка круто стелит в Питере у чудесной хозяйки Юлии!"
neutral,"Надеюсь, надолго не понадобиться!!! Салават-погнали!"
neutral,"ТАК ТО , ТОВАРИЩИ!!!"
positive,|Ты лучше чем героин...лучше чем гашишь...лучше кокса...ты самый лучший мой наркотик...зависимость от тебя самое сладкое...|
neutral,"Всё, приехали товарищи..."
neutral,"Какое-то странное ощущение, что весна где-то уже на пороге..."
negative,"ночью опять решил пошутить над жизнью, а она как обычно первой успела. смешно только тому дураку в зеркале, который сделал вид, что нормально знает больше о наслении хаоса доброй шутокки бухти низнул но вообще с гос служило дальше. ладно, спать"
neutral,сны про зомби начинают приобретать черты патологии.
negative,Во френдленте всё меньше и меньше интересного и читабильного. Одни перепосты. Просмотр ленты начинается с блокировки перепостов групп с дебильными названиями. Своих мыслей ни у кого не осталось? О_о
positive,"((-=...Смотрю ""Приключения Буратино""...Ах...детство...=-))"
negative,"кто нибудь идет на концерт сегодня... вообще не понимаю, зачем собираюсь... как то совсем кисло выло после этой вони внутреней..."
neutral,"Мне нахер не нужны  не химия не физика  
я считать уже умею меня ждут политика :)"
neutral,"Как реагируют парни, которым мы нравимся,на то, когда мы рассказываем, что расстались со своим парнем))"
positive,"Настя, глянь какая крошка)_"
neutral,а я еще вот такого нашла)))
negative,"репостнул шутку, урр зато брат сказал: «ну ты псдец комик!!!»... через 5 мин понял что смеюсь и беcит сам принцип юмора)) ржач есть, кайфа ноль!!"
neutral,Гринюк приезжает сегодня.
negative,Если не лох:  / 
positive,Мы стартуем✌️🔥😎
negative,Необходимость одеть на себя в такую жару что-либо приводит в уныние...
neutral,и как здесь не матерится?
neutral,"ахах....)
не могла нечего нормального нарисовать тем-более красиво я рисовать не умею только так типа шутя))
:*"
neutral,и человек моментально все понимает. моментально
neutral,"В наше время тяжело доказать человеку, что он тебе, действительно очень дорог)))"
neutral,"В связи с приближающимся Хэллоуином вопрос:
Ни у кого нет случаем белого грима? И черного? И красного?
Так как надо на 1 раз, то много денег тратить не хочется, а то что видела в магазинах на себя мазать страшновато)
Плачу печеньками и обнимашками)"
positive,Ну вот и работе конец. Можно и RЕVO ебануть...
negative,НЕ верить. НЕ ждать. НЕ скучать. НЕ любить. НЕ ПОЛУЧАЕТСЯ...
neutral,"
дядька,пропустили..."
neutral,Город готов к весне. Света нет.
positive,ДИМАС!!!! ОТПУСК!!!!! ШАХТЕР - ПОРТА 2-1!!!! ЗАпомни СЧЕТ!!!!
neutral,"Когда человек действительно хочет общаться, то он плюёт на все прeграды и... пишет, звонит, приезжает... А если не хочет, то - ""Да здравствует 1000 и 1 отмазка!"""
neutral,"ночью почему-то особенно вспоминаю, как легко мы могли говорить обо всём после пары сообщений. сейчас вроде уже поздно об этом писать, но всё равно: тебя не хватает не только в разговорах. иногда очень даже."
neutral,"та сижу вечером, окно открыто, чай хололдный уже. в комнате тишина такая странная... всё ок вроде, просто дедлайны и мы опять не совпали по времени короче"
positive,АХУЕВАЙ НАХЕР АЖ слушай до конца особенно припев
negative,иди нахуй пес ..
neutral,он не приедет слава богу
positive,"""Я немного нервничал, когда приземлился в России. Я думал, что, возможно, увижу задрипанную страну с толпой мрачных людей, мыслящих, как роботы, и агентами спецслужб, прослушивающими мою комнату. Вместо этого я увидел страну ста национальностей, живущих вместе в гармонии. - Никакого оружия. Никакой преступности. Никаких проституток. И ни одного гомосексуалиста.""

Мохаммед Али о СССР"
positive,"Прекрасная пара Максим и Мария... Она сказала:""ДА!!!"". Было очень приятно стать частичкой вашей истории любви!"
negative,Ехал вчера по М10 - это АД...  Ямы по полметра на трассе между столицами.  Три убитых полосы без разметки.
negative,слишком много боли для меня(но это делает меня сильнее))))
neutral,ГИГИЕНА СОЗНАНИЯ.
neutral,можно жениться!!!))
negative,Хоть бы кто написал и сказал . Как ты поживаешь . Что вы все за люди ?
positive,Я тебя люблююю!!!
negative,"ночью почему-то особенно видно, как всё внутри пустеет... думаешь, что ещё держишься за людей, смыслы, какие-то старые клятвы... а потом понимаешь — никто никого не обязан спасать. и становится только холоднее."
neutral,"О стипендии. 
Музыкальная пауза. (КВНщики поймут) Не рой яму другому: сам в неё упадёшь."
negative,знаете я снова   сижу  и панимаю што любовь  ето боль тебя  снова обманывают им всёравно но страдаете вы и как приятно панимать што ты отличаешся от них я теперь буду следить за их словами а хто мне  говорил люблю проста  врал.
neutral,она наша ЛАЙФ.....)))
neutral,"Утром Алексей Долматов, известный по прозвищу Гуф,был найден убитым в подъезде своего дома.Соседи сообщают, что видели его таким не раз."
neutral,"Опять этот день развалился на куски — утро, работа, звонок, и где-то между всем этим я забыл поесть. Бесит не сильно, просто устал уже от этого вечного скрапа из дел и чужих сообщений."
negative,Помним....Любим....Скорбим....
positive,С такой красотой и дождливый день - не серый :)
neutral,"Утро опять впрыгнуло без спроса. Кофе ёк, автобус уехал, в голове одна каша. И вроде день обычный, а я уже будто слегка развалился."
negative,Блин . еще одна хрень обнаружилась . мне все уже сказали что видели на рекламе Мондиаль меня . а я там не снималась . не понятно откуда они взяли эти кадры .
positive,Море море море!!!!!!!
neutral,"А вообще, скажу вам, читать в первоисточнике всю эту свистопляску в польской политике после катастрофы весьма забавно. У нас еще не обо всем пишут, а зря. Славомир Мрожек с его театром абсурда отдыхает. И главное, здравомыслящие поляки понимают, что это полный абсурд."
negative,"ахаха ну даeшь, умник, уже и год выяснять успели/?? постарайся хоть не позоритьcя в след. раз!!!!!!"
positive,Ты - мой повод быть лучше....©
neutral,Приличные люди 😱😎✌🏻️✊🏻
negative,фуу не скидуй мне это гав?***о на стенУ!
negative,продули....
neutral,прощать и просить прощение.кто вы? без своих понтов?
neutral,А так же школота)
neutral,пора идти за елкой..
neutral,"Наткнулся сегодня на старый вк — фотки с дачи, тот же дождь, ржавая решётка у подъезда... странно тепло стало. Как будто это было вчера 🕯️"
neutral,"Как с одной стороны глупо проводить время напиваясь в хлам.
С другой же стороны у меня есть самые пиздатые друзья, с которыми я могу это делать. После чего останется куча запоминающихся моментов и дружба становится ещё крепче!
Так что ребята! Не смотря на то что кто то из нас вчера провёл ночь в ментовской кутузке, и не смотря на то что кто то чуть не лишился работы,кого то помяли лицом о капот машины, у кого то отобрали права, а кто то замёрз в поисках заданного направления. Мы всё равно сегодня устроим продолжение банкета. В этот раз надеюсь с полицией дело иметь не будим. 
Lets have some fuun! =)))"
