label,text
neutral,ровно год до конца света) как быстро летит время)
neutral,весь день под компом ааа
positive,"Сегодня поймал себя на том, что уже давно не жду чуда каждое утро — а оно, похоже, всё равно приходит. Включил старый трек и в голове снова всплыло лето с двориком до темноты. И да, пусть там в комментариях опять всем все не так понятно юмор наш переживёт любой спор."
positive,"НОЧЬ опять не спится. СТОЮ у окна, думаю как ВДРУГ 2024 надоело всё, а тут она скинула «ну ты чего?» 😌 и всё... пустота сразу почему‑то стала ТЕПЛОЙ. только встретились — будто давно свой человек 💫"
negative,"я хочу как-нибудь встретить тебя, подойти, улыбнуться и тихо так, ласково прошептать на ушко: я презираю тебя, мразь."
positive,мне вчера добрые люди 2 кг икры из магадана привезли - как мало все-таки надо для счастья )))
positive,"Ну всё, я официально решил: любовь — это когда вы вместе ищете мышь от ноутбука по всей комнате, а она потом оказывается у тебя в руке. Жёстко, но мило ахах"
positive,Чёткая )))
positive,"НИКТО, никогда, не будет любить нас больше,чем родители!"
neutral,"Иногда вспоминаю тебя... и даже не изливаю это никому... просто странно, что столько слов осталось без ответа.... в комментах опять бы разнесли всё в пух и прах..."
negative,"Удалил из контакта,из телефона ,удалился с района.А как удалить из сердца????"
negative,"Ну что за токсики, а не люди тут сидят :( когда уже у вас масло в голове появится вместо вот этого вечного самовыедания и язвочек.. хотелось просто нормально засидеться с кем-то тёплым и живым, а попадаются одни нытики и колкости — ну прям обнять и удалить из поиска"
negative,да пошел ты со своим мясом Сергей Анучин!!!
negative,"все время ловлю себя на том, что жду твоего сообщения, а потом тупо сжимаю телефон и делаю вид, будто норм. не норм вообще. ты как чужой.. и ощушение,что я сама себе все это придумала"
positive,"перепостнул старую заметку и сам остался в ней где-то там, на осенних фото, с твоим смехом в голове. странно: вроде давно прошло, а спасибо хочется сказать до сих пор"
neutral,"Иногда слышу старую песню и вдруг опять тот двор, кассеты на подоконнике и синий вечер внутри, у вас тоже бывало такое, или только меня вот так прошибает?"
neutral,"Ночью опять включил эту старую ноту... и будто все мартовские подъезды, пустые трамваи и чьи то голоса вернулись разом. странно, как песня умеет не отпускать!!!"
neutral,"что-то совсем поздняя ночь... сидишь такой... смеёшься над собственными сообщениями из 2014 и хочется выйти из интернета, не уходя вста зке... хх"
positive,"репостнул это и теперь сижу как дэбил... почему у населения глаза такие, будто меня уже давно раскусили!!?? ладно, смешно и похоже на правду, реагирую eнергично: нравится ужасно)))"
neutral,"Ночью почему-то всплыло все это. Было тупо, искренне, странно красиво... Сейчас уже без тех разговоров до утра и этих глупых обид. Инкогда думаю: могли ведь по-другому, но ладно, че уж."
neutral,"ну это я... сначала смеялся, потом уже просто сидел и смотрел в пустоту 🙃"
positive,всё для тебя:*
neutral,"Празднование победы в чемпионате откладывается до выходных, в принципе это логичнее, пить в выходные всё же удобнее и практичнее со всех точек зрения. =)"
negative,"Опять включили эту попсу... будто мне и без неё мерзко... лучше бы кто-то прибил динамик, серьёзно..."
negative,барселона гавно!)
neutral,"ночю опять лieжу и вспамнилось как рaньше всё было проще с отношениеями. даже странно, уже столько лет mimo а некоторые смски всё еще в ghолове крутucя. vet хотел че то написать, но оставить зaarаз нет сил"
positive,"сидишь ночью и вдруг понимаешь... жизнь, конечно, странная штука 🙂 иногда разваливается на глазах, а потом неожиданно очень тепло внутри... короче, всем тихого вечера и чтобы меньше глупых мыслей"
neutral,"Сижу, читаю комменты и не понимаю, почему любой обычный пост сразу превращается в ругань. Можно же хоть раз спокойно обсудить тему без наездов. Или это уже норма для VK?"
neutral,"репост ниже прям в точку. третий день не высыпаюсь, ору про этот дебильный график молча и жру кофе как ебаный зомби. вроде шитковина дня, а нервов уже нет."
negative,"ну да, этот ""хамлтезд"" после сольдркиемии — позор просто. защифры никюкие, ор на пустом месте и всй топт воодсят как будто что-то было."
positive,"репостнул и совсем охуел, как же это круто, прям в сердечко"
neutral,Новая ера в  ВК =) Жирафы наступают 0о
positive,"Перепостнул мысль... и снова понял, как бесит эта привычка у всех всё раскладывать по полочкам 😅 Иногда ведь просто надо оставить человеку шанс... не доказывать, не спорить, а поддержать. Вот это сейчас очень заходит."
negative,"устал слушать эту вечную болтовню про смысл и свет внутри, когда вокруг один цирк. чем дольше смотришь на людей, тем сильнее кажется, что их философия - просто красивая обертка для равнодушия. пустота как будто уже стала нормой."
negative,"— ну и че теперь делать?
— хз...
сижу ночью, звук в квартире какой-то противный, работка задолбала, еще и кафен норм не работает. хотeл хоть домой по-тихому, а вышло как всегда — всё через жопу."
neutral,"Поймала себя... что до сих пор вспоминаю нас по старым перепискам... и да, можете уже спорить в комментах как обычно, но странно ведь — если отпускаешь, почему так цепляет"
negative,"Опять весь день коту под хвост... работа, пробки, башка гудит((( а вечером вместо нормального человечка — тишина и эти унылые стены!! кто вообще придумал такую жизнь..."
neutral,"ПОМНИТСЯ, как в школе ржали над тупыми шутками и думали, что это УРОВЕНЬ. Сейчас нашёл старый лист с нашими «пупсиками» ск клик убила. Как же нелепо и тепло было одновременно."
negative,"Иногда ловлю себя на мысли, что весь этот цирк с «смыслами» уже просто утомляет. Все тянут в свою сторону, а внутри только пусто и немного злости. И ведь смешно — чем старше становишься, тем меньше верится хоть во что-то."
negative,Да что ж за день то сегодня такой??..
negative,"Что я могу ему дать?
Губы, которые разучились улыбаться, глаза, ослепшие от слез, холодные руки и пустое сердце..."
positive,mst4k [id131583510|уёбок] будем гомна роздавать!)
neutral,"опять включил ту старую песню... и будто сразу обратно в те вечера, когда весь мир держался на плеере и одном припеве... странно, но такие мелодии не отпускают..."
neutral,"ночью опять залип на старые переписки. странно, вроде и не больно уже, а всё равно что-то щёлкает внутри. люди уходят, а наши дурацкие песни почему-то остаются"
neutral,"НОЧЬ. ТИХО... И КАК-ТО СТРАННО ПОСЛЕ ВСЕГО ЭТОГО... НИ ЗЛА, НИ РАДОСТИ — ПРОСТО ПУСТОТА И УЛИЦЫ ЗА ОКНОМ.   НЕ ЗНАЮ.. ЛИДЕНЕТ ВНУТРИ И ОТПУСКАЕТ СРАЗУ."
neutral,нормальный человек должен быть слегка ебанутым...
neutral,ЛЕРА ЛЕРА ЧТО ЖЕ ТЫ НАДЕЛАЛА
negative,"Папочка,мы отказываемся от нашей мамы она плохая и нас не любит...(((нам и без нее не плохо будет!"
positive,"всю неделю кручу этот трек.. как будто оншит меня на куски, а потом вдруг собирает обратно. редко орКестр ещё так цеплял, просто не отпускает. у вас бывает такое?"
negative,"Тихо, неспеша вьехал в открытый люк присыпаный снегом... 30 минут, 10 человек и я опять свободен! Куда мир катится? Да никуда, потому что люки открытыми оставляют!"
negative,"смешно как он клялся что не исчезнет. а потом просто вышел из диалога, будто меня и не было. сидю теперь и думаю — может я реально была какой-то паузой между чьими-то событиями"
negative,бляять да забей ты ужеееееее!!!!!
neutral,"Киевский поезд, 1300 до Орши, я в шоке, где эти цены берут и почему они с такой скоростью растут?"
negative,"Завтра концерт, все пишут что надо радоваться, а у меня в голове только ты. Странно: шумно вокруг, а внутри как после пустого зала. Хотел сказать давно — без тебя даже свои песни и барабаны где-то далеко."
positive,"Сначала хотел злиться на утро, потом окончательно победил будильник и чай... в итоге живой, накормленный и даже почему-то с улыбкой. Уровень бытового хаоса одобрен."
negative,"написал бы что всё ок, но вру сам себе уже неделю. рисунки опять кто-то стёр с ноута, и мне тошно так, будто выжгли кусок меня. стараюсь держаться, но к вечеру просто пиздец пусто"
negative,"а пока прячемся в 2комнатных карцерах, живя на своей земле как в окупации..."
positive,Мы стартуем✌️🔥😎
neutral,"То,что происходит с тобой,происходит только с тобой.
Никому и никогда не удастся взглянуть на мир твоими
глазами,увидеть то,что видишь ты,и понять это так,как
понимаешь ты."
neutral,"ну да, бывает так. просто странное ощущение и всё"
negative,"Да вы просто задолбали уже со своей тупой токсичностью!!! Каждый второй мнит себя мачо и лезет гнить в чужую жизнь, типа это весело? да пошли вы нахуй все вместе, честно!!!"
positive,"репостну это без многоточий, потому что такие строки возвращают куда-то в школьные вечера, где на окнах пар и во дворе мигает одинокий фонарь. странно, как несколько слов умеют так тихо разбудить внутри что-то почти забытое — теплое, светлое, очень живое."
neutral,"Овен: влюбился, пострадал от этого, но не разлюбил.
Телец: в конце концов влюбился.
Близнецы: влюбился, потом влюбился, потом влюбился...
Рак: влюбился - женился.
Лев: влюбился - не понравилось, больше не влюблялся.
Дева: сделал вид что влюбился.
Весы: подумал, подумал.. влюбился.
Скорпион: влюбился - пострадал, влюбился - пострадал.
Стрелец: влюбился - добился!
Козерог: влюбился, и заставил в себя влюбиться.
Водолей: долго выбирал, выбрал - влюбился.
Рыбы: влюбился, бросил, пожалел."
neutral,"Опять смотрю на этот вечер и вроде ничего особенного, но почему-то зацепило. Люди спешат куда-то, у всех свои лица, свои куртки, свои истории. странно"
neutral,"чо то внезапно вспомнил как было с тобой.. и странно, не жeeeeлею вроде, но пусту4newо. звонил бы наверное еговорил мне пох ркудв кал форум чат заглаваяв народl уже нача привет своих, засмеют же опять"
positive,"ночью опять накрыло, подумал(а) про нас и вдруг стало так спокойно. странно, когда рядом не огонь-драма, а просто человек, с которым поверилось в нормальные чувства. держит изнутри лучше любого ибупрофена"
positive,"И опять этот вечер, когда окна горят теплом, а я вдруг вспоминаю твой взгляд — такой простой и опасный. Если бы можно было вернуть хоть один летний дворик, пару быстрых слов и твою улыбку у меня под сердцем…"
negative,"ну да конечно... опять устроили цирк в комментариях... как же у вас всё просто, спорить хоть до утра вроде умеете, а по делу ноль"
positive,"обожаю людей, 
с которыми чувствуешь себя в своей тарелке,
с которыми можно говорить всякие глупости,
и они, конечно же, тебя поймут и своего добавят.

я люблю людей, с которыми тепло"
neutral,"пиздец, ну бывает. не первый и не последний кринж в этих отношениях."
neutral,"бывают такие дни.... 
которые запоминаются навсегда.... ^__^"
neutral,"Вчера насмотрелся немецкой порнухи. Сегодня прорвало батарею. Уже всю квартиру затопило, а я сижу вот и думаю – вызывать мне сантехника или
может не стоит."
positive,"Ахахахахаха, Настя )))
Люблю тебя!!!)"
positive,"иногда тусую и думаю... все это фигня ток с виду, а на самом деле моменты остаются где-то внутри надолго... скучнал по тем временам, когда даже ночи были теплее"
neutral,"почему-то ночью снова всплыл наш ноябрь… то странное молчание в чате, недосказанность, два кофе остывших на подоконнике. не знаю… просто вспомнилось и всё."
neutral,"Иногда думаю, что мы сами себе выдумываем смысл, а потом обычно удивляемся почему в голове так пусто и тяшело."
neutral,"кой там у нас сегодня такой ядреный онлайн, что даже читать интересно. Смотреть можно было бы и молча, если бы некоторые так аппетитно не лезли в кадр сеньор 🙂"
neutral,нст зкт как вы там с любвю а я нлучаюсь и им прсятно принмято наблюдет из опана
neutral,Ну его нафиг этот Египет...Летим в Мурманск)))
neutral,"ну всё… я увидел это и сидел минуту как прибитый… смешно конечно, но где-то внутри прям беда и ржач одновременно…"
neutral,"О этот момент, когда твоя сестренка уже выросла, и ее ресницы расчесывают ее бровки💃💅👑"
positive,"пересматриваю этот реп... ну всё, в голос ушла совсем))) если твой трек еще авторачив читает это — я сдаюсь... ставлю на повтор, замерaю и жду следующую песню, хоть бы она меня так же добила"
positive,"Опять ловлю себя на том, что хочется вернуть те ночи... когда включаешь музыку в наушниках, всё вокруг тихо, а внутри будто легче... сейчас снова нахлынуло это странное раздражение от чужой токсичности, но даже оно как-то смягчается сквозь старые треки... раньше умели они лечить"
neutral,"народ… а помните, как перед концертом все еще ттерялись где вход и кто ваще идет? вчера всплыло это чувство, будто снова ждешь автобус к залу и не знаешь — потом пустят или нет"
positive,Завтра по календарю Велика -у него свадьба!!!!
negative,"е*ать ты безмозглая, надо же было до такого докатиться, знать тебя больше не хочу."
neutral,мы заняли 2 место в театре
negative,"репостну и спрошу... зачем вдруг назвали это «концертом года», если звук сыпался уже с первой песни 😒🎤💔 кто тоже вышел оттуда злой, а не в восторге? 🤦‍♀️✋"
positive,"Некоторым людям достаточно всего лишь улыбнуться мне, и вся моя злость или обида на них моментом исчезает..."
neutral,"Вчера во дворе кто-то включил старую песню... и такой странный потопл мыса, будто снова шестнадцать. — помнишь эту лавку? — помню... блин, всё как было и уже нифига не будет."
positive,"На концерте так орал, что меня узнала даже собственная психика 😭🤘 Мат вызнан в благодарственных стонах короче, любовь и шум до утра"
neutral,"— ну че, были на концерте? — был. звук местами жесткий, но зал прям качал. пару раз токсиком в комментах столкнулся уже дома, а так норм вечер, трек сникло не итог."
neutral,"Житель Тамбова, который полгода прожил в квартире с трупом, покончил жизнь самоубийством"
neutral,"Репостнул старую запись... и как-то вдруг поняла, что всё то время он был почти единствнным человеком, с кем я была настоящей. Странно... не грустно даже, а просто тихо внутри."
neutral,кто хочет хорошее лето?
neutral,нефиг было делать :D
neutral,Мы вообще хоть секунду не смеялись? 😂😂😂😂
negative,опять эта песня... в голове крутится как комиссия по ночам... добейте меня и плейлист
positive,репостнул бы всю эту гениальность... ахаха... когда настроение управляет тебе вопросами и одновременно увольнением
neutral,Видео про жизнь(((((коментим
negative,ООЙ БЛЯ ЭДИК хули хвастаться нашёт алгебры списал бля всё ешё и хвастаешся
neutral,"Купил, долго смотрел на окнец и понял — это уже не чайник, а вопросики к моему утреннему избору 😐"
neutral,"блииин, теперь ты 3я у меня><"
negative,"Наверное, я сама виновата, что опять сунулась в эти ебаные отношения и поверила словам. Потом сама же сидишь, молчишь в чат и ржешь сквозь слезы над этой тупой хуйней. Людей ломает не любовь, а то как быстро они превращаются в ебучих чужих."
positive,Борщиик^-^
neutral,"Вышел в чат на пару минут, а там уже это свое убий к Ване чужого взяли. Люди, ну почему без нормального разговора сразу токсичность? Я вообще устал от нее, честно."
neutral,"Опять весь день в ленте какойто базар изза токсика и срача, как будто людям правда нечем заняться. все грузят друг друга комментами, потом обижаются, а я просто читаю и думаю ну зачем вы так-то"
neutral,"У знакомого в ленте опять фотка пустой электрички на закате, и почему-то от этого стало сразу и спокойно, и чуть грустно."
positive,Ещё одна победа счет (12-2) Боренька как всегда молодец:D
neutral,"Помню, как на старой стене мы шутили в комментах и думали, что это уже вечность. Забавно"
negative,"утро как будто в каше
с людьми опять токсично и криво
молчу, чтобы не поджечь всё к чертям,
а внутри только хейт и усталость"
negative,"Бляяяяяяяя разбил телефон - все номера на нем были
!!!!!!!!!!!"
negative,"А почему майданутые скрывают свои лица? Они же вроде как уже победили. 
Чего бояться то?"
neutral,"Сегодня вдруг вспомнилось, как мы когда-то договаривались просто выйти на пять минут, а потом могли сидеть до темноты и молчать. Странно, сколько таких разговоров уходит в никуда."
positive,"перепостнула старую фото с нашей прогулки... и так странно тепло стало внутри... раньше казалось, что это просто день, а сейчас понимаю — из таких дней потом и складывается жизнь... берегите своих людей..."
neutral,"почему-то сейчас вспомнил, как мы гуляли до 3х у остановки и молчали, но всё было понятно без слов. странно, уже давно разошлись по своим жизням, а в голове это почему‑то сидит до сих пор."
neutral,Тяжёлые рабочие будни :D
positive,Ааааааатлично!! Наконец-то цивилизация!!!!!!!!
neutral,"опять вечером казалось что надо срочнчо в магазин... но в итоге просто сел и смотрю в окно, ну бля, сила дня"
neutral,"репостнул чисто поржать, а потом сижу думаю: ну блин, это почти про нашу бухгалтерию"
neutral,"УЖЕ просто смешно читать весь этот трэш в комментах, посмтрел вчера и понял — люди ваще не очем думают. Кто-то орет, кто-то умничает, а по факту всё одно и то же..."
neutral,"опять в ленте эта токсичка, у меня с таких сразу нервный тик. а ты бы лучше лишний раз заглянул ко мне, чем они тут воздух ядрой увешивают"
neutral,"Ближе к природе, подальше от безумной суеты...!"
neutral,"В ленте вылезла старая фотка, где еще все были почему-то мокрые после какой-то фигни во дворе. времена были странные, но норм так. аж спать не хочется"
neutral,"у меня с той девочкой всё было как-то криво... помню как смеялись полночи и потом я ваще выпал из реала... до сих пор иногда крышу к неё заносит, эх... шлю такую ностальгию в ленту..."
negative,Репостнул и снова охренел — у людей реально мозг в отпуске.
neutral,ты был сегодня в лужниках
neutral,ну да... как пайдёт дож́дь — я сразу философ... лол.
negative,сука.. нашу контору накрыли!)))
positive,она охрененная)))))))))
negative,"гениально начавшийся стендап на концерте опять сперли в перегрев и шутки не зашли вообще. зал смеялся в роли, а мне было неловко"
neutral,"Мы предадим детей, если не заступимся"
neutral,Розривать👏
positive,"перепостнул и сам завис… только утром всплыла эта заметка, а ведь правда: иногда такие простые мелочи вытягивают весь день. тихо радует почему-то"
neutral,"Снова в наушниках это старое доброе дерьмо. И странно: музыка давно ушла, а ночи, лестничные клетки и все те разговоры будто стоят рядом. Чтож, память зачем-то играет вечный repeat."
neutral,"хочется научиться проникать любимым людям в головы с ведром и шваброй и все дочиста отмывать там от параной, предрассудков и заблуждений (с)"
neutral,даже если вас бросили и вы падаете - не цепляйтесь за что попало.
neutral,"репостнул один пост и зачем-то завис на лице в шляпе. красивый, ничего не скажешь, но настроение после него странное."
neutral,"Лучше иметь девушку маленькую и глупенькую, чем взрослую и шлюху."
negative,"почему вивы тупо молчат после спочка этой песни, они чё вообщеаа, это ж кайф был а щас пустота и грязь впечатлений"
neutral,"ну что, концерт начался... народ уже прет... вроде всё как надо..."
negative,"Все держу в себе, но от тебя тоска какая-то совсем нелепая. Хочется написать глупость, лишний раз напомнить о себе и сразу стереть. Ты так странно притягиваешь... и одновременно больно."
negative,"Мне так стыдно за своих....Спасибо Папе, что еще в советское время уехали в Россию..."
neutral,"ну нед для этого касцрта я чут🙃 но было впсё ровно очя все жир, лолялан того стоила"
neutral,"«мы боимся тишины, потому что в ней слышно себя»... и вроде да, но иногда это просто странно: говоришь чушь людям, потом сидишь один и понимаешь — насколько всё это временно... "
negative,"Ну и пиздец, конечно. Хотела просто увидеться, а в итоге одна мерзкая шутка, и настроение в ноль. Сам уверен за двоих умник нашелся."
negative,"Ночной Питер нихера не круто, когда негде поспать и понятия не имеешь куда идти, а вокруг какая-то крипота творится"
positive,"Иногда ловлю себя на том, что самые живые идеи приходили не по расписанию... а ночью, когда город молчит и голова идёт вразнос 🎧 вроде бы всё давно изменилось, но внутри до сих пор есть тот самый рваный свет из старых времён..."
positive,Наааа))))Тунц-тунц))))
neutral,"Иногда так смотрю на всё это обсуждение и просто не понимаю, зачем люди так упрямо лезут друг в друга. Обидно, наоборот смешно, а потом ещё думаешь об этом полдня. Ладно уж."
neutral,Вот он - этот момент))
neutral,"лол, увидел мем и завис на пару секунд. вроде тупо, а вроде прям вжух по нервам. интернет опять победил без боя"
neutral,"люди в комментах иногда та ещё токсичная карусель, заходишь просто глянуть новости а там опять все друг на друга кидаются 🙃"
neutral,"Если завтра после концерта уши будут звенеть, значит всё прошло как надо"
neutral,ты это видела? это ж прям Реутов ТВ!))))
neutral,ПРИЧИНА КАТАСТРОФЫ НА КУБАНИ - ЦЕЛЕНАПРАВЛЕННЫЙ СБРОС ВОДЫ !!!
negative,"ну да, гениально: снова #моятявози зали як стал тебя впечат гр-н первидать ибо исход от моря не зыдвщимеп... ч.яг."
neutral,"Снова сижу... и залипаю на эту песню... уже по кругу, без шансов. Честно, бесит даже немного... но выключить не могу. Это странное ощущение, когда музыка как будто и успокаивает, и добивает одновременно..."
positive,"Иногда ночь тихо листает старые страницы внутри меня, и так по-горькиᴍу красиво щемит сердце… 🌙✨ что хочется просто сидеть в полумраке и улыбаться прошлому через слёзы!! 💭🕯️"
negative,"Порой такое чуство,что я тебе нафиг нужна!!!!"
negative,"Сегодня опять весь день коту под хвост… с утра уже всё не как надо, чай вылил на стол, в автобусе на меня один с тупой ухмылкой смотрел, а потом дома ещё притворялись что всё норм... короче бесит 😒"
neutral,а чё это ты не работаешь???
neutral,"репостнул потому что заилл просто задело... иногда вспмншь рнше общелись почти шикарно, а потом всё тихо сслось. не драмания конечно, но пустота осталась странная."
negative,"Я в шоке, шок во мне и мы оба в ахуе..."
negative,фссее... опять этот красавчик😡🔥 да ну нафиг... для кого ты там стлько пззируэш? 🤷‍♀️💔 бесит капец 😒🙄
neutral,как это ваще ?)))))
positive,"СЕГОДНЯ Я ОСОЗНАЛ: ЕСЛИ ЖИЗНЬ ДАЁТ ЛИМИОНАД, ТО ВСЕ РАВНО КТО-ТО СЪЕЛ МОРЦКОВКУ!!! НО НАСТРОЕНИЕ ГОДНОЕ!!!"
negative,"Почему я каждый год, ровно в этот день реву под эту песню как сей Пикачу?"
neutral,ВОТ О ЧЕМ Я!
negative,Ахуеть ебало)))
negative,"РЕПОСТНУЛ ЭТОТ БРЕД С МЕЖ, А ОН ПИСАЛ ПРО ЛЮБОВЬ... ХА. НАИВНО Я ВЕРИЛА В ШУТКИ, НО СМЕШНО ТОЛЬКО ДО ТЕХ ПОР,
ПОКА НЕ УХОДЯТ.
ВСЁ
"
positive,"ночью снова достала ту коробку... билеты, старый брит-поп, засушенный лист с аллеи у института... смешно. вроде и морозит изнутри, а внутри всё равно светло... спасибо прошлому за эти тихие песенные шрамы..."
neutral,"Смысл песни — как выдох в пустоту!!! Слушаю опять эту херь, и почему-то кажется: чем громче бас, тем тише ты внутри. Нахуй это странно, но да..."
positive,"только что опять слушал путь на ладов с трех часов ночи и ловлю себя на том, как от негатива везде будто воздух помягче становится, странно конечно но музыка реально держит лучше любых разговоров"
positive,"Да вот читаю всю эту токсичную перепалку в ленте и только хихикаю. В мире столько зла, а мне бы лучше к тому одному типу прижаться поближе... Он такой вредный, но чертовски цепляет."
positive,"Ахаха  ,Дима тебя  вскрыли :D"
neutral,"ну всё, в треде уже не спорят а дерутся комментами ладно смешно конечно но кто ещё увидел этот театр"
negative,"не обращайте внимания, просто мои друзья отличаются недостатком интеллекта )"
negative,Я не верю не в какие Укромитинги. Это 100% проплаченная толпа а цель ее заводить народное настроение. Сам народ БУНТУЕТ ПРОТИВ ВОЙНЫ ЧУТЬ ЛИ НЕ В КАЖДОМ ДОМЕ. ТАК ЧТО НЕСТОИТ ЗАОСТРЯТЬ ВНИМАНИЕ НА ПРОВОКАЦИОННЫЙ МИТИНГ.
neutral,"Не могу понять, почему моя рука - это не ветвь сирени. @ Леонард Коэн"
neutral,"Сидела сегодня и вдруг всплыла та наша переписка... странно, уже столько лет, а всё равно помню как ты в авито-стиле пкидывал мне песни и писал что ""давай потом поговорим"". смешно.. даже тепло стало. приходится отпустить видимо"
negative,"Утащила репостом чужую мысль... потому что своя совсем не выходит сегодня. Вышел утром — серость, люди качпечаються, автобус опять мимо... и я като так же // медленно вниз. День будто из мокрой ваты..."
neutral,"блять, нада было тоже родиться симпатичной девушкой и выйти за миллионера(("
neutral,"У кошки приступ нежности,
Приступ отчаянья и одиночества. 
Она не знает ни моего имени, ни моего отчества,
Но требует рук моих, моего шёпота.
Кричит, надрывая кошачьи лёгкие.
Кто сказал, что в пустынях пусто?
В пустынях просто не многолюдно.
А в моих ногах ей почему-то уютно,
Она прижимается к ним своей мордой
Рассеянно как-то и плачет.
Господи, неужели и кошки плачут??
А я молча разгадываю сканворды.
Послушай, мне тоже. Но я же молча."
neutral,"""Чистокровный"", настоящий, без каких либо понтов или еще чего то там, с отличным чувством юмора..
Получил обещанную педаль, взял альбом с автографом, пожал руку. Неее, на футболку денег не хватило:D
Отличный человек, а как музыкант еще лучше
Всем слушать nobody.one, всем ходить на концерты!!

P.S     А ""10 евро"" ребятки отдадите на следующем концерте))))))"
neutral,не жана она мне больше.не жана!!!
neutral,"Пришло время снова вспомнить, как ставить приложения из .apk, если вдруг кто забыл.
(А пользователи Apple как не имели такой возможности без джейла, так и не имеют)."
neutral,ну все сел на один взгляжик твойь и потом сяла батаре下 нет не сил не стыда
neutral,Вам меня не понять...
neutral,зашёл за хлебом и опять как обычно загрузился этим дурацким мартовским ветром
positive,Нравится!!!!!!!
neutral,Ну......как-то так
neutral,"посидел... и че-то вспомнилось как всё было... казалолсь вто прям навсегда, а тепеь уже хЗ где чветы эти наши... странно короч вроде не больно, но ие смешо..?"
negative,"Будет ещё больней , но ты держись."
neutral,"ну и хуйня опять, просто прочитал и закрыл"
neutral,Чтобы не забывал... .)
neutral,"такой вот вечер вышел... допил чай, сел у окна... город мокрый и тихий, а на душе что-то важное этак проимерлось. просто посидел и промолчал с домом."
positive,"Иногда так скучаю по нашему старому двору и тем, кто умел говорить в лицо без всей этой токсичной мишуры в ленте... тогда люди были резче, но честнее."
neutral,"Мы никогда не можем изменить длину нашей жизни, но можем изменить ее ширину и глубину!!!!"
negative,"кто нибудь идет на концерт сегодня... вообще не понимаю, зачем собираюсь... как то совсем кисло выло после этой вони внутреней..."
neutral,"я: почему опять включаю этот трек?  
она: потому что в нем всё, что не успел сказать
и ведь правда — три минуты, а как будто осень, школа и тупая надежда вернулись назад"
